"SSID","Filename","Creator[8101]","Culture","Title[8103]","Image View Description[8104]","Image View Type[8105]","Date[8106]","Earliest Date[8107]","Latest Date[8108]","Style/Period[8109]","Materials/Techniques[8110]","Measurements[8111]","Artstor Classification[8112]","Work Type[8113]","Repository[8114]","Accession Number[8115]","Location[3200]","Creation/Discovery Site[8117]","Latitude[8118]","Longitude[8119]","Elevation[8120]","Country[8121]","Description[8122]","Subject[8123]","Relationships[8124]","Image Source[8125]","Photographer[8126]","Image Date[8127]","Local Record ID[8128]","Rights[8129]","Historic Site Name[8137]","Notes[8138]","Faculty requestor[8139]"
986573,"i12-04320.tif",,"Hellenistic","Unknown Stele, #58",,,,,,,,,"Sculpture and Installations|Paintings","Relief sculpture; Painting",,,,,,,,"Greece","Possibly from Thebes (alternately, could be in the Volos Museum).",,,"Blanche Brown Bequest, 2003",,,"i12-04320",,,"The image likely comes from Frasier.",
986574,"i12-04321.tif",,"Hellenistic","Stele of Parmeniskos, #46",,,,,,,,,"Paintings","Painting",,,,,,,,"Greece","Possibly from Thebes (alternately, could be in the Volos Museum).",,,"Blanche Brown Bequest, 2003",,,"i12-04321",,,"The image likely comes from Frasier.",
986575,"i12-04322.tif",,"Hellenistic","Stele of Phila, #30",,,,,,,,,"Sculpture and Installations|Paintings","Relief sculpture; Painting",,,,,,,,"Greece","Possibly from Thebes (alternately, could be in the Volos Museum).",,,"Blanche Brown Bequest, 2003",,,"i12-04322",,,"The image likely comes from Frasier.",
986576,"i12-04323.tif",,"Hellenistic","Stele of Peneis and Herodotos, #29",,,,,,,,,"Sculpture and Installations|Paintings","Relief sculpture; Painting",,,,,,,,"Greece","Possibly from Thebes (alternately, could be in the Volos Museum).",,,"Blanche Brown Bequest, 2003",,,"i12-04323",,,"The image likely comes from Frasier.",
986577,"i12-04324.tif",,"Hellenistic","Stele of Menophilos, #26",,,,,,,,,"Paintings","Painting",,,,,,,,"Greece","Possibly from Thebes (alternately, could be in the Volos Museum).",,,"Blanche Brown Bequest, 2003",,,"i12-04324",,,"Extensive writing on this slide, apparently about the color of the paint visible on the stele. The image likely comes from Frasier.",
986578,"i12-04325.tif",,"Hellenistic","Stele of Sosibios, #237",,,"ca. 200 BC",-225,-175,,,,"Sculpture and Installations|Paintings","Relief sculpture; Painting",,,,,,,,"Greece","Possibly from Thebes (alternately, could be in the Volos Museum).",,,"Blanche Brown Bequest, 2003",,,"i12-04325",,,"The image likely comes from Frasier.",
986579,"i12-04326.tif",,"Hellenistic","Stele of Rhodokleia, #115",,,,,,,,,"Sculpture and Installations|Paintings","Relief sculpture; Painting",,,,,,,,"Greece","Possibly from Thebes (alternately, could be in the Volos Museum).",,,"Blanche Brown Bequest, 2003",,,"i12-04326",,,"Extensive writing on this slide, apparently about the color of the paint visible on the stele. The image likely comes from Frasier.",
986580,"i12-04327.tif",,"Hellenistic","Stele from Hadra Cemetery, Alexandria",,,,,,,,,"Sculpture and Installations|Paintings","Relief sculpture; Painting","Alexandria, Muḩāfaz̧at al Iskandarīyah, Egypt",,,,,,,"Greece","Painted standing figure.",,,"Blanche Brown Bequest, 2003",,,"i12-04327",,,"Slide from University of Wisconsin slide library",
986581,"i12-04328.tif",,"Hellenistic","Unknown Painting with Herm Figure",,,,,,,,,"Paintings","Painting",,,,,,,,,"Unknown wall painting.",,,"Blanche Brown Bequest, 2003",,,"i12-04328",,,,
986582,"i12-04329.tif",,"Hellenistic","Painted Scenes with Figures",,,,,,,,,"Paintings","Painting",,,,,,,,,"Standing female figures and malen equestrian figures are depicted on this image from an unknown location.",,,"Blanche Brown Bequest, 2003",,,"i12-04329",,,"Slide label reads ""IFA C9674 Mustif Pasfa T. 1""",
986583,"i12-04330.tif",,"Hellenistic","Painted Figure",,,,,,,,,"Paintings","Painting",,,,,,,,,"Nude male figure holds an object in his left hand. To the viewer's right, a ribbon hangs. Below the figure a bird is depicted.",,,"Blanche Brown Bequest, 2003",,,"i12-04330",,,"Slide label reads ""IFA AA 6954 T+Ras-al-Tin Tomb II""",
986599,"i12-04346.tif",,"Hellenistic","Stele #224, Volos",,,,,,,,,"Paintings","Painting","Archaeological Museum of Vólos (Vólos, Thessaly, Greece)",,,,,,,"Greece","Painted stele.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed October 1964","i12-04346","IFA/NYU","Vólos, Thessaly, Greece",,
986600,"i12-04347.tif",,"Hellenistic","Stele #5, Volos",,,,,,,,,"Paintings","Painting","Archaeological Museum of Vólos (Vólos, Thessaly, Greece)",,,,,,,"Greece","Painted stele.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed October 1964","i12-04347","IFA/NYU","Vólos, Thessaly, Greece",,
986601,"i12-04348.tif",,"Hellenistic","Stele #110, Volos",,,,,,,,,"Paintings","Painting","Archaeological Museum of Vólos (Vólos, Thessaly, Greece)",,,,,,,"Greece","Painted stele.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04348","IFA/NYU","Vólos, Thessaly, Greece",,
986602,"i12-04349.tif",,"Hellenistic","Stele #250, Volos",,,,,,,,,"Paintings","Painting","Archaeological Museum of Vólos (Vólos, Thessaly, Greece)",,,,,,,"Greece","Painted stele.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed October 1964","i12-04349","IFA/NYU","Vólos, Thessaly, Greece",,
986603,"i12-04350.tif",,"Hellenistic","Stele #222, Volos",,,,,,,,,"Paintings","Painting","Archaeological Museum of Vólos (Vólos, Thessaly, Greece)",,,,,,,"Greece","Painted stele.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed October 1964","i12-04350","IFA/NYU","Vólos, Thessaly, Greece",,
986604,"i12-04351.tif",,"Hellenistic","Stele #113, Volos",,,,,,,,,"Paintings","Painting","Archaeological Museum of Vólos (Vólos, Thessaly, Greece)",,,,,,,"Greece","Painted stele.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed October 1964","i12-04351","IFA/NYU","Vólos, Thessaly, Greece",,
986605,"i12-04352.tif",,"Etruscan","Tassinara Tomb, Detail",,,"2-1c BC",-199,-1,,,,"Architecture and City Planning|Paintings","Architecture; Painting","Florence Archaeological Museum (Florence, Tuscany, Italy)",,,,,,,"Italy","Garland wreaths, ribbons and birds are depicted. In two different hands, an inscription(a graffito?), placed beside a figure outlined in red paint.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04352","IFA/NYU","Tuscany, Italy","Brown has written ""COPY"" on the slide mount.",
986606,"i12-04353.tif",,"Etruscan","Golini Tomb II, Detail",,,"ca. 350 BC",-375,-325,,,,"Paintings","Painting","Archaeological Museum of Orvieto (Orvieto, Umbria, Italy)",,"Orvieto, Umbria, Italy",,,,,"Italy","A youthful male figure in shown in an active pose (hunting). From the so-called Golini Tomb II (named after the man that discovered the two tombs near Orvieto in the late 1800s).",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04353","IFA/NYU","Volsinii, Umbria, Italy","Brown has written ""Florence Archaeological Museum"" on the slide mount. The reconstructed tombs are currently in the Archaeological Museum of Orvieto.",
986607,"i12-04354.tif",,"Etruscan","Golini Tomb II, Detail",,,"ca. 350 BC",-375,-325,,,,"Paintings","Painting","Archaeological Museum of Orvieto (Orvieto, Umbria, Italy)",,"Orvieto, Umbria, Italy",,,,,"Italy","A youthful male depicted in athletic attire washes his hands. From the so-called Golini Tomb II (named after the man that discovered the two tombs near Orvieto in the late 1800s).",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04354","IFA/NYU","Volsinii, Umbria, Italy","Brown has written ""Florence Archaeological Museum"" on the slide mount. The reconstructed tombs are currently in the Archaeological Museum of Orvieto.",
986608,"i12-04355.tif",,"Etruscan","Golini Tomb II, Detail",,,"ca. 350 BC",-375,-325,,,,"Paintings","Painting","Archaeological Museum of Orvieto (Orvieto, Umbria, Italy)",,"Orvieto, Umbria, Italy",,,,,"Italy","A youthful male (apparently nude) gestures to his right and holds a banqueting vessel in his left hand (an oinochoe?. Before him, a narrow table is laid with sympotic vessels, perhaps simulating the funerary banquet.  From the so-called Golini Tomb II (named after the man that discovered the two tombs near Orvieto in the late 1800s).",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04355","IFA/NYU","Volsinii, Umbria, Italy","Brown has written ""Florence Archaeological Museum"" on the slide mount. The reconstructed tombs are currently in the Archaeological Museum of Orvieto.",
986609,"i12-04356.tif",,"Etruscan","Laghetto Tomb III (Paestum), Detail",,,"390-380 BC",-390,-380,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","A chariot race. Laghetto Tomb III from Paestum was excavated in 1954.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04356","IFA/NYU","Paestum, Campania, Italy",,
986610,"i12-04357.tif",,"Etruscan","Laghetto Tomb III (Paestum), Detail",,,"390-380 BC",-390,-380,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","A chariot race. A victory ribbon (fillet) is depicted at left. Laghetto Tomb III from Paestum was excavated in 1954.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04357","IFA/NYU","Paestum, Campania, Italy",,
986611,"i12-04358.tif",,"Etruscan","Laghetto Tomb III (Paestum), Detail",,,"390-380 BC",-390,-380,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","Two male figures wrestle, flanked by wreaths (or fillets). Laghetto Tomb III from Paestum was excavated in 1954.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04358","IFA/NYU","Paestum, Campania, Italy",,
986612,"i12-04359.tif",,"Etruscan","Laghetto Tomb III (Paestum), Detail",,,,,,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","Two nude male figures wear helmet and shields and are shown in combat, with a wreath (or fillet) depicted at left. Laghetto Tomb III from Paestum was excavated in 1954.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04359","IFA/NYU","Paestum, Campania, Italy",,
986613,"i12-04360.tif",,"Etruscan","Andrinola Tomb XXX (Paestum), Detail",,,"ca. 330 BC",-340,-320,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","A veiled female figure moves towards the viewer's left, as does the figure at the center of the image, a bearded male figure playing a wind instrument. Behind these, a third figure moves left. Andrinola Tomb XXX from Paestum was excavated in 1955.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04360","IFA/NYU","Paestum, Campania, Italy",,
986614,"i12-04361.tif",,"Etruscan","Laghetto Tomb X (Paestum), Detail",,,"4c BC",-399,-300,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","A seated woman is offered a basket by an unseen offerand. Laghetto Tomb X from Paestum was excavated in 1954.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04361","IFA/NYU","Paestum, Campania, Italy",,
986615,"i12-04362.tif",,"Etruscan","Andrinola Tomb XXX (Paestum), Detail",,,"ca. 330 BC",-340,-320,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","An agricultural scene with a yoked quadruped (ox?). Andrinola Tomb XXX from Paestum was excavated in 1955.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04362","IFA/NYU","Paestum, Campania, Italy",,
986616,"i12-04363.tif",,"Etruscan","Laghetto Tomb LXIV (Paestum), Detail",,,"ca. 320 BC",-330,-310,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","Two male figures, one youthful and nude, one bearded and draped, both move to the viewer's left. Laghetto Tomb LXIV from Paestum was excavated in 1955.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04363","IFA/NYU","Paestum, Campania, Italy",,
986617,"i12-04364.tif",,"Etruscan","Laghetto Tomb LXIV (Paestum), Detail",,,"ca. 320 BC",-330,-310,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","A standing female figure and an armed male figure on horseback confront each other (a ""farewell"" or ""reception""?). Laghetto Tomb LXIV from Paestum was excavated in 1955.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04364","IFA/NYU","Paestum, Campania, Italy",,
986618,"i12-04365.tif",,"Etruscan","Laghetto Tomb LXIV (Paestum), Detail",,,"ca. 320 BC",-330,-310,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","A male figure and an animal (a horse or donkey?). Laghetto Tomb LXIV from Paestum was excavated in 1955.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04365","IFA/NYU","Paestum, Campania, Italy",,
986619,"i12-04366.tif",,"Etruscan","Laghetto Tomb LXIV (Paestum), Detail",,,"ca. 320 BC",-330,-310,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","A bearded male charioteer wears a conical hat, shown riding an active chariot. Laghetto Tomb LXIV from Paestum was excavated in 1955.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04366","IFA/NYU","Paestum, Campania, Italy",,
986620,"i12-04367.tif",,"Etruscan","Laghetto Tomb LXIV (Paestum), Detail",,,"ca. 320 BC",-330,-310,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","A beard male rides a relatively staid chariot. Laghetto Tomb LXIV from Paestum was excavated in 1955.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04367","IFA/NYU","Paestum, Campania, Italy",,
986621,"i12-04368.tif",,"Etruscan","Laghetto Tomb LXIV (Paestum), Detail",,,"ca. 320 BC",-330,-310,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","Two youthful nudes wrestles while a draped figure observes (an education scene?). Laghetto Tomb LXIV from Paestum was excavated in 1955.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04368","IFA/NYU","Paestum, Campania, Italy",,
986622,"i12-04369.tif",,"Etruscan","Andrinola Tomb (Paestum), Detail",,,"ca. 330-320 BC",-335,-315,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","An armed equestrian figure is received by three standing figures. An Andrinola tomb from Paestum, excavated in 1937",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04369","IFA/NYU","Paestum, Campania, Italy",,
986623,"i12-04370.tif",,"Etruscan","Andrinola Tomb (Paestum), Detail",,,"ca. 330-320 BC",-335,-315,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","A pair of charioteers. An Andrinola tomb from Paestum, excavated in 1937",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04370","IFA/NYU","Paestum, Campania, Italy",,
986624,"i12-04371.tif",,"Etruscan","Andrinola Tomb (Paestum), Detail",,,"ca. 330-320 BC",-335,-315,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","Two figures wrestle, flanked by standing figures movinfg to the viewer's left. An Andrinola tomb from Paestum, excavated in 1937",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04371","IFA/NYU","Paestum, Campania, Italy",,
986625,"i12-04372.tif",,"Etruscan","Andrinola Tomb (Paestum), Detail",,,"ca. 330-320 BC",-335,-315,,,,"Paintings","Painting","National Archaeological Museum of Paestum (Paestum, Campania, Italy)",,,,,,,"Italy","An Andrinola tomb from Paestum, excavated in 1937",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04372","IFA/NYU","Paestum, Campania, Italy",,
986626,"i12-04373.tif",,"Etruscan","Tomb Painting, Paestum",,,,,,,,,"Paintings","Painting","Naples National Archaeological Museum (Naples, Campania, Italy)",,,,,,,"Italy","Martial scene with armed and equestrian figures.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04373","IFA/NYU","Paestum, Campania, Italy",,
986627,"i12-04374.tif",,"Etruscan","Tomb Painting, Paestum",,,,,,,,,"Paintings","Painting","Naples National Archaeological Museum (Naples, Campania, Italy)",,,,,,,"Italy","Martial scene with armed standing figures engaged in combat.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04374","IFA/NYU","Paestum, Campania, Italy",,
986628,"i12-04375.tif",,"Etruscan","Tomb Painting, Paestum",,,,,,,,,"Paintings","Painting","Naples National Archaeological Museum (Naples, Campania, Italy)",,,,,,,"Italy","Two equestrian riders confront each other.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04375","IFA/NYU","Paestum, Campania, Italy",,
986629,"i12-04376.tif",,"Etruscan","Tomb Painting, Paestum",,,,,,,,,"Paintings","Painting","Naples National Archaeological Museum (Naples, Campania, Italy)",,,,,,,"Italy","Three vessels on a shelf.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04376","IFA/NYU","Paestum, Campania, Italy",,
986630,"i12-04377.tif",,"Etruscan","Tomb Painting, Paestum",,,,,,,,,"Paintings","Painting","Naples National Archaeological Museum (Naples, Campania, Italy)",,,,,,,"Italy","Two nude male figures box. At left, a female figure carries a basket in her right hand.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04377","IFA/NYU","Paestum, Campania, Italy",,
986631,"i12-04378.tif",,"Etruscan","Tomb Painting, Isernia",,,,,,,,,"Paintings","Painting","Naples National Archaeological Museum (Naples, Campania, Italy)","#9350","Isernia, Molise, Italy",,,,,"Italy","A figure carries a caduceus, traveling cap and cloak (an Etruscan Hermes) extends his right arm in greeting to the male figure before him.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04378","IFA/NYU","Aesernia, Molise, Italy",,
986632,"i12-04379.tif",,"Etruscan","Tomb Painting, Capua",,,,,,,,,"Paintings","Painting","Naples National Archaeological Museum (Naples, Campania, Italy)","#9360",,,,,,"Italy","A male figure holds a staff in his right hand.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04379","IFA/NYU","Capua, Campania, Italy",,
986633,"i12-04380.tif",,"Etruscan","Tomb Painting, Cuma",,,,,,,,,"Paintings","Painting","Naples National Archaeological Museum (Naples, Campania, Italy)",,,,,,,"Italy","A seated female receives a standing female rendered in a smaller scale (attendant?).",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04380","IFA/NYU","Cuma, Campania, Italy",,
986634,"i12-04381.tif",,"Etruscan","Tomb Painting, Ruvo",,,,,,,,,"Paintings","Painting","Naples National Archaeological Museum (Naples, Campania, Italy)","#9357",,,,,,"Italy","A colorful composition of eight veiled women actively moving to the viewer's right with their arms clasped.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04381","IFA/NYU","Ruvo del Monte, Basilicata, Italy","Brown has written ""Ruvo."" It seems most likely that these tomb-paintings are from Puvo del Monte in Basilicata, however, they might also come from Ruvo di Puglia, in Apulia.",
986635,"i12-04382.tif",,"Etruscan","Tomb Painting, Ruvo",,,,,,,,,"Paintings","Painting","Naples National Archaeological Museum (Naples, Campania, Italy)","#9353",,,,,,"Italy","A colorful composition of six clearly preserved veiled woman moving actively to the viewer's right with their arms clasped. A youthful male figure in a short tunic is visible in the foreground at left. ",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04382","IFA/NYU","Ruvo del Monte, Basilicata, Italy","Brown has written ""Ruvo."" It seems most likely that these tomb-paintings are from Puvo del Monte in Basilicata, however, they might also come from Ruvo di Puglia, in Apulia.",
986636,"i12-04383.tif",,"Etruscan","Tomb Painting, Ruvo",,,,,,,,,"Paintings","Painting","Naples National Archaeological Museum (Naples, Campania, Italy)","#9356",,,,,,"Italy","Four veiled women move to the viewer's right.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04383","IFA/NYU","Ruvo del Monte, Basilicata, Italy","Brown has written ""Ruvo."" It seems most likely that these tomb-paintings are from Puvo del Monte in Basilicata, however, they might also come from Ruvo di Puglia, in Apulia.",
986637,"i12-04384.tif",,"Etruscan","Tomb Painting, Ruvo",,,,,,,,,"Paintings","Painting","Naples National Archaeological Museum (Naples, Campania, Italy)","#9354",,,,,,"Italy","Four veiled women move to the viewer's right, led by a youthful male figure wearing a short tunic.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04384","IFA/NYU","Ruvo del Monte, Basilicata, Italy","Brown has written ""Ruvo."" It seems most likely that these tomb-paintings are from Puvo del Monte in Basilicata, however, they might also come from Ruvo di Puglia, in Apulia.",
986638,"i12-04385.tif",,"Etruscan","Painted Funerary Stele",,,,,,,,,"Sculpture and Installations|Paintings","Relief sculpture; Painting","Whitaker Museum (Mozia, Sicily, Italy)",,"Mozia, Sicily, Italy",,,,,"Italy","A draped male figure extends and flexes a disproportiately large right arm.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04385","IFA/NYU","Motya, Sicily, Italy",,
986639,"i12-04386.tif",,"Etruscan","Funerary Painting, Fragment",,,,,,,,,"Paintings","Painting","Capua Archaelological Museum (Capua, Campania, Italy)",,,,,,,"Italy","An elaborately draped figure is partially preserved.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04386","IFA/NYU","Capua, Campania, Italy",,
986640,"i12-04387.tif",,"Etruscan","Funerary Painting, Fragment",,,,,,,,,"Paintings","Painting","Capua Archaelological Museum (Capua, Campania, Italy)",,,,,,,"Italy","An elaborately draped figure is partially preserved.",,,"Blanche Brown Bequest, 2003","B. Brown","Film processed August 1960","i12-04387","IFA/NYU","Capua, Campania, Italy",,
769336,"i13-00416.tif",,"Egyptian","Amarna palace","details ",,"New Kingdom, Dynasty XVIII",-1550,-1292,,,,"Architecture and City Planning|Paintings","painting",,," Amarna, Al Minya, Upper Egypt, Egypt",,,,,"Egypt","line drawings of pavement painting; bound foreigners from pavement of Room F",,,"Weatherhead, ""Paintings,"" fig. 17.  D. O'Connor personal slide.",,,"i13-00416",,,"Amarna, foreigners","D. O'Connor, fall 2012, FINH-GA 3020-001"
769348,"i13-00413.tif",,"Egyptian","The Four Races of Man","wall painting in the tomb of Seti I","detail","New Kingdom, Dynasty XIX",-1293,-1200,,,,"Architecture and City Planning|Paintings","wall painting",,,,,,,,"Egypt",,,,"Hornung, pl. 120.  D. O'Connor personal slide.",,,"i13-00413",,,"Foreigners","D. O'Connor, fall 2012, FINH-GA 3020-001"
769351,"i13-00411.tif",,"Egyptian","Tomb of Userhat (TT 56)","View of wall painting in transverse hall showing Userhat before Amenhotep II","Detail view","New Kingdom, Dynasty XVIII",-1550,-1292,,"limestone and polychromy",,"Architecture and City Planning|Paintings","wall painting",,,"Sheikh Abd el-Qurna, Thebes",,,,,"Egypt",,,,"D. O'Connor personal slide.",,,"i13-00411",,,"Userhat","D. O'Connor, fall 2012, FINH-GA 3020-001"
769853,"i13-00463.tif",,"Roman, German","Wall painting from Mainz","View of restoration",,"First half of 2c AD",100,150,,,,"Paintings","Wall painting","Mittelrheinisches Landesmuseum, Mainz, Rheinland-Palatinate, Germany",,,"Mainz, Rheinland-Palatinate, Germany",,,,"Germany",,,,"""Mittelrheinisches Landesmuseum Mainz,"" 1982, p. 6.",,,"i13-00463",,,"Rome North of the Alps","G. Kopcke"
938740,"i12-04673.tif",,"Greek, Roman, Greco-Roman","House, Delos",,,,-599,400,,,,"Architecture and City Planning|Paintings","Wall painting",,,"Delos, Greece",,,,,"Greece","Detail of wall painting, first style",,,"K. Welch personal slide","K. Welch",,"i12-04673","K. Welch",,,"K. Welch, spring 2012"
742822,"i12-07688.tif",,"Roman","Reconstructed ceiling painting","interior",,"ca. 315 AD",300,330,,,,"Architecture and City Planning|Paintings","painting",,,,"Trier",,,,"Germany","from the Palace under the Basilica at Trier",,,"Freistaates Bayern Rosenheim 2000, ""Die Römer zwischen Alpen und Nordmeer,"" pl. XXIX.",,,"i12-07688",,,,"G. Kopcke, fall 2012, FINH-GA 2024-001"
742947,"i12-05193.tif",,"Roman","Hall of Isis (Aula Isiaca)",,,"80 BC",-80,-80,,,,,"Architecture",,,"Rome",,,,,"Italy","interior: wall paintings of griffin and other subjects; located under Domus Flavia",,,"Fogg Art Museum photo. Harvard University loan, 96-09109. IFA 35mm slide, 98-5971.",,,"i12-05193",,,,"K. Welch, spring 2012"
742948,"i12-05194.tif",,"Roman","Hall of Isis (Aula Isiaca)",,,"80 BC",-80,-80,,,,,"Architecture",,,"Rome",,,,,"Italy","interior: wall paintings; located under Domus Flavia",,,"Fogg Art Museum photo. Harvard University loan, 96-09110. IFA 35mm slide, 98-5970.",,,"i12-05194",,,,"K. Welch, spring 2012"
739863,"i12-07861.tif",,"Germanic","Kivik - ""King's Grave""","detail","interior","ca. 1000 BC",-1350,-900,,,,"Sculpture and Installations|Paintings","Rock art",,," Kivik, Skåne, Sweden",,,,,"Sweden","Petroglyphs on the interior of a grave cist within a very large burial mound/cairn known as the ""King's Grave"" (Kungagraven), in Kivik, Skåne (Scania), Sweden. Depictions include human figures, animals, and horse-drawn two-wheeled chariots. Nordic Bronze Age.",,,"K. Randsborg, ""Archaeology and the Man-Made Material Reality,"" p. 67, fig. 20",,,"i12-07861",,,"Indo-Europeans. Scandinavia - Nordic Bronze Age.","G. Kopcke, fall 2012, FINH-GA 2024-001"
782180,"i12-06365.tif",,"Roman","Columbarium of Pomponius Hylas",,,,,,,,,"Architecture and City Planning","Architecture",,,"Rome, Lazio, Italy",,,,,"Italy","Detail of painting from arch of apse, probably the figure of Orpheus",,,"""Forma Urbis,"" June 1997, p. 19.  IFA 35mm slide 00-8134.",,,"i12-06365",,,,"K. Welch, spring 2012"
925454,"i13-00489.tif",,"Roman","Fragment of a black figure Attic crater",,,"1st century BC",-99,-1,"Archaic",,,"Decorative Arts, Utilitarian Objects and Interior Design|Paintings","pottery",,,,"Lapis Niger, Rome, Roma, Lazio, Italy",,,,"Italy",,,,"""La Grande Roma"", Tav II 3.1.22, IFA 35mm slide, 01-7858.",,,"i13-00489",,,,"K. Welch, fall 2012."
995014,"i13-00680.tif",,"Roman","Sepulcrum Pancratii",,,"1st century BC - 4th century BC",-99,300,"Roman",,,"Architecture and City Planning|Paintings","painted stucco relief",,,"Rome",,,,,"Italy","interior, Priam begs Achilles for body of Hector",,,"Harvard University duplicate (K.Welch), IFA 35mm slide, 95-14619.",,,"i13-00680",,"Sepulcrum Pancratii",,"K.Welch, fall 2012."
995015,"i13-00681.tif",,"Roman","Sepulcrum Pancratii",,,"1st century BC - 4th century BC",-99,300,"Roman",,,"Architecture and City Planning|Paintings","painted stucco relief",,,"Rome",,,,,"Italy","detail of stuccoed wall",,,"Ferrari, ""Lo stucco nell'arte Italiana"", pl.XXI, IFA 35mm slide, 20071.",,,"i13-00681",,"Sepulcrum Pancratii",,"K.Welch, fall 2012."
769342,"i13-00417.tif",,"Egyptian","Tomb of Sennefer",,"detail","New Kingdom, Dynasty XVIII",-1550,-1292,,"limestone, plaster, polychromy",,"Architecture and City Planning|Paintings","Wall painting from tomb",,,,,,,,"Egypt","View of wall painting depicting Book of the Dead, Spell 151",,,"Hornung, pl. 30.  D. O'Connor personal slide.",,,"i13-00417",,,"Sennefer, Book of the Dead","D. O'Connor, fall 2012, FINH-GA 3020-001"
