Category,Name,Date of Appointment,La,Lo,Place,Notes,Degree
Education,Dr. Mary Tavener Holmes,,,, ,Art Historian/Curator,PhD 1986
Education,"Dr. William E. Hood, Jr.",,,,William Hood Fine Arts,Emeritus Professor and Principle,"PHD '77, IFA (GSAS/Fine Arts)"
,Ms. Laura J. Hoptman,,40.761433,-73.977622,Museum of Modern Art,Curator,"MA '86, IFA (GSAS/Fine Arts)"
,Ms. Mindy F. Horn,,,,Mindy Horn Conservation,Paper Conservator,"MA '84, IFA (GSAS/History of Art and Archaeology); CERT '85, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Stephanie E. Hornbeck,,,, , ,"CERT '99, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '99, IFA (GSAS/History of Art and Archaeology)"
,Ms. Paula Rand Hornbostel,,,,The Lachaise Foundation,Curator and Trustee,"MA '00, IFA (GSAS/History of Art and Archaeology)"
,Ms. Christina B. Houstian,,,,Broadneck High School,Head of the Social Studies Department,"MA '94, IFA (GSAS/History of Art and Archaeology)"
,Dr. Angela Howard,,,,Rutgers University,Professor,"MA '77, IFA (GSAS/Fine Arts)"
,Ms. Anne Hoene Hoy,,,,"Editor, Author",Adjunct Assoc Professor,"MA '67, IFA (GSAS/Fine Arts)"
,"Anne C. Hrychuk Kontokosta, Ph.D.",,,,Pratt Institute,Visiting Associate Professor,"MA '03, IFA (GSAS/History of Art and Archaeology); PHD '10, IFA (GSAS/History of Art and Archaeology)"
,"Chee Mee Hu, Ph.D.",,,,Moodys Investors Service, ,"XX '70, Heights; MA '74, IFA (GSAS/Fine Arts); PHD '81, IFA"
,Ms. Sophie Hager Hume,,,,Starbucks Corporation,"VP, Asst General Counsel & Asst. Secretary","BA '82, WSC (English); MA '88, IFA (GSAS/Fine Arts)"
,Ms. Sarah Averill Humphreville,,40.773423,-73.963818,Whitney Museum of American Art,Curatorial Assistant,"MA '13, IFA (GSAS/History of Art and Archaeology)"
,Dr. John M. Hunisak,,,,Middlebury College,Professor of Art and Architecture,"MA '69, IFA (GSAS/Fine Arts)"
,Ms. Penelope Hunter-Stiebel,,,, ,Consulting Curator of European Art,"MA '71, IFA (GSAS/Fine Arts)"
,Dr. Judith Warren Hurtig,,,,Hancher Auditorium,Artistic Director,"PHD '78, IFA (GSAS/Fine Arts)"
,Ms. Kailin B. Husayko,,,,Greenwich Village Society for Historic,Program Associate,"BA '06, CAS (History, French); ADCRT '13, IFA (Museum Studies)"
,Mr. Timothy B. Husband,,40.779187,-73.963535,Metropolitan Museum of Art,Curator,"XX '77, IFA (GSAS/Fine Arts)"
Education,Dr. Isabelle Hyman,,40.729513,-73.996461,New York University,Professor Emerita,"MA '66, IFA (GSAS/Fine Arts)"
,Ms. Margaret L. Iacono,,40.771277,-73.967134,The Frick Collection,Assistant Curator,"MA '99, IFA (GSAS/History of Art and Archaeology)"
,Dr. Caroline Goldberg Igra,,,,University of Haifa,Assistant Professor,"PHD '95, IFA (GSAS/History of Art and Archaeology)"
,Ms. Mayumi Ikeda,,,,Keio University,Postdoctoral Fellow,"MA '04, IFA (GSAS/History of Art and Archaeology)"
,Ms. Helen C. Im,,,,Fine Art Conservation Group LLC,Paintings Conservator,"MA '00, IFA (GSAS/History of Art and Archaeology); CERT '01, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Anna Indych-López, Ph.D.",,,,The City College of New York,Associate Professor of Art History,"BA '93, WSC (Fine Arts); MA '95, IFA (GSAS/History of Art and Archaeology); PHD '03, IFA (GSAS/History of Art and Archaeology)"
,"Erik W. Inglis, Ph.D.",,,,Oberlin College,Professor,"MA '91, IFA (GSAS/History of Art and Archaeology); PHD '98, IFA (GSAS/History of Art and Archaeology)"
,Ms. Harriet Irgang,,,,ArtCareNYC Inc.,Director/Senior Paintings Conservator,"MA '85, IFA (GSAS/History of Art and Archaeology); CERT '85, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Anita T. Isola, Esq.",,,,New York City Transit Authority,Assistant General Counsel - Retired,"BA '71, WSC; MA '74, IFA (GSAS/Fine Arts)"
,Mr. Matthew Winer Israel,,,,The Art Genome Project,Director,"MA '06, IFA (GSAS/History of Art and Archaeology); PHD '11, GSAS (GSAS/History of Art and Archaeology)"
,Ms. Rebeca Amaranta Izquierdo,,,,Alumni Relations (National Outreach),Associate Director,"MA '09, IFA (Museum Studies)"
,"Lauren Anne Jacobi, Ph.D.",,,,MIT Department of Architecture,Assistant Professor,"PHD '12, IFA (GSAS/History of Art and Archaeology)"
,"Lynn F. Jacobs, Ph.D.",,,,University of Arkansas,Professor,"MA '80, IFA (GSAS/Fine Arts); PHD '86, IFA (GSAS/Fine Arts)"
,Ms. Sandhya S. Jain Patel,,,,Christie's Auction House,Specialist,"CERT '04, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '04, IFA (GSAS/History of Art and Archaeology)"
,Ms. Heather Whitmore Jain,,,,San Francisco Museum of Art,Curator,"MA '99, IFA (GSAS/History of Art and Archaeology)"
,Ms. Olivia Falconer James,,,,Howard Hanna Holt Real Estate,Associate Broker,"MA '76, IFA (GSAS/Fine Arts)"
,Ms. Grace Jan,,,,Freer Sackler Galleries/Smithsonian,Chinese Painting Conservator,"CERT '07, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '07, IFA (GSAS/History of Art and Archaeology)"
,"Marilyn Jenkins-Madina, Ph.D.",,40.779187,-73.963535,Metropolitan Museum of Art,Curator Emerita,"PHD '78, IFA (GSAS/Fine Arts)"
,Ms. Victoria M. Jenssen,,,, , ,"BA '70, WSC (Classics - Fine Arts); MA '75, IFA (GSAS/History of Art and Archaeology); CERT '76, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Maureen M. Jerome,,,,"Merck & Co., Inc.",Assistant Counsel,"MA '93, IFA (GSAS/History of Art and Archaeology)"
Curatorial,Purissima Benitez Johannot,,46.202055,6.146561,Musee Barbier-Mueller,Curator,1984
,"Christopher Johnson, Ph.D.",,,,New School University- Eugene Lang College,Assistant Professor of Culture and Media,"XX '85, IFA (GSAS/Fine Arts); PHD '99, GSAS (American Civilization)"
,Dr. Eugene J. Johnson,,,,Department of Art,Amos Lawrence Professor of Art,"MA '63, IFA (GSAS/Fine Arts)"
Curatorial,"Lyle Humphrey Johnson, Ph.D.",,35.810435,-78.702139,North Carolina Museum of Art, GlaxoSmithKline Curatorial Fellow,PhD 2007
,Ms. Nancy A. Johnson,,,, ,Self-Employed Archivist and Writer,"XX '82, IFA (GSAS/Fine Arts)"
,Mr. William R. Johnston,,,,Walters Art Museum- Retired,Senior Curator Emeritus,"MA '66, IFA (GSAS/Fine Arts)"
,Ms. Julie M. Jones,,,,"Arts of Africa, Oceania, & the Americas",Andrall E. Pearson Curator in Charge,"MA '62, IFA (GSAS/Fine Arts)"
Curatorial,"Leslie Jones, Ph.D.",,34.063932,-118.359229,Los Angeles County Museum of Art,Assistant Curator,"MA '95, IFA (GSAS/History of Art and Archaeology); PHD '03, IFA (GSAS/History of Art and Archaeology)"
,Dr. Leslie M. Jones,,,,Motorola Mobility Foundation,Senior VP and Chief Information Office,"MA '73, IFA (GSAS/Fine Arts)"
,Dr. Jim M. Jordan,,,,Dartmouth College,Professor,"XX '74, IFA (GSAS/Fine Arts)"
,"Anna Jozefacka, Ph.D.",,,,Hunter College,College Professor,"MA '03, IFA (GSAS/History of Art and Archaeology); PHD '11, IFA (GSAS/History of Art and Archaeology)"
,Ms. Erin Kimberly Jue,,,,The Huntington Library,Paper Conservator,"MA '08, IFA (GSAS/History of Art and Archaeology); CERT '08, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Dr. Annette L. Juliano,,,,Rutgers University,Professor of Asian Art,"PHD '74, IFA (GSAS/Fine Arts)"
,"Kenji Kajiya, Ph.D.",,,,Kyoto City University of Arts,Associate Professor,"PHD '14, IFA (GSAS/History of Art and Archaeology)"
,"Peter Roland Kalb, Ph.D.",,,,Brandeis University,Assistant Professor,"MA '97, IFA (GSAS/History of Art and Archaeology); PHD '00, IFA (GSAS/History of Art and Archaeology)"
,Ms. Susan R. Kandel,,,,HarperCollins Publishers, ,"MA '88, IFA (GSAS/Fine Arts)"
,Mr. Laurence B. Kanter,,,,Yale University Art Gallery,Lionel Goldfrank III Curator of Early European Art,"MA '80, IFA (GSAS/Fine Arts)"
,Ms. Susan Ann Kantor,,,,Asian Art Museum,Assistant to the Chief Curator,"MA '07, IFA (GSAS/History of Art and Archaeology)"
,"Lorraine M. Karafel, Ph.D.",,,,Assistant Professor of Art History,Associate Dean and ,"XX '84, IFA (GSAS/Fine Arts); PHD '10, IFA (GSAS/History of Art and Archaeology)"
,Professor Patricia E. Karetzky,,,,Bard College,O Munsterberg Chair of Asian Art,"XX '70, WSC; PHD '79, IFA (GSAS/Fine Arts)"
,Ms. Lucretia G. Kargere-Basco,,40.864863,-73.931727,The Cloisters/Metropolitan Museum of Art,Conservator,"MA '94, IFA (GSAS/History of Art and Archaeology); CERT '96, IFA (GSAS/Conservatn Center Training Pgm)"
,Ms. Hiroko Kariya,,,,"Epigraphic Survey, Oriental Institute",Project Conservator,"MA '01, IFA (GSAS/History of Art and Archaeology); CERT '01, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
Education,"Pepe Karmel, Ph.D.",,40.729513,-73.996461,New York University,Associate Professor,"MA '86, IFA (GSAS/Fine Arts); PHD '93, IFA (GSAS/History of Art and Archaeology)"
,Dr. Anna D. Kartsonis,,,,"Comparative Religion, Emerita",Professor of Art History and,"XX '68, IFA (GSAS/Fine Arts)"
,"Ronda J. Kasl, Ph.D.",,40.779187,-73.963535,Metropolitan Museum of Art,Curator of Colonial Latin American Art,"MA '85, IFA (GSAS/Fine Arts); PHD '12, IFA (GSAS/History of Art and Archaeology)"
,Ms. Eliza J. Katz Ward,,,,The Textile Museum,Development Manager,"MA '06, IFA (GSAS/History of Art and Archaeology)"
,"Ariela Hanna Katz, Ph.D.",,,,"Co-Director, NY/Paris Program",Adjunct Associate Prof of Architecture,"MA '98, IFA (GSAS/History of Art and Archaeology); PHD '14, IFA (GSAS/History of Art and Archaeology)"
,Mr. Charles J. Katz,,,,The Charles and Roberta Katz Family, ,"MA '73, IFA (GSAS/Fine Arts)"
,"Ilona Katzew, Ph.D.",,34.063932,-118.359229,Los Angeles County Museum of Art,Curator and Co-Department Head of Latin American Art,"MA '92, IFA (GSAS/History of Art and Archaeology); PHD '00, IFA (GSAS/History of Art and Archaeology)"
,Dr. Laura S. Kaufman,,,,Manhattanville College,Professor Emerita,"MA '69, IFA (GSAS/Fine Arts)"
,Ms. Ruth-Lee Kaufmann,,,, ,Art Consultant,"MA '69, IFA (GSAS/Fine Arts)"
Education,"Ethan Matt Kavaler, Ph.D.",,43.662892,-79.395656,University of Toronto,Professor,PhD 2002
,"Joan J. Kee, Ph.D.",,,,Department of the History of Art,Assistant Professor,"PHD '08, IFA (GSAS/History of Art and Archaeology)"
,Mr. David C. Kellogg,,,,FoorRest,Healthcare,"MA '90, IFA (GSAS/Fine Arts)"
,Mr. Matthew H. Kennedy,,,,ERS Group,Director of Litigation Support,"MA '89, IFA (GSAS/Fine Arts)"
,Ms. Trinita N. Kennedy,,,,The Frist Center for the Visual Arts, ,"MA '97, IFA (GSAS/History of Art and Archaeology)"
,"Ellen V.R. Kenney, Ph.D.",,40.779187,-73.963535,Metropolitan Museum of Art,Research Associate,"MA '93, IFA (GSAS/History of Art and Archaeology); PHD '04, IFA (GSAS/History of Art and Archaeology)"
,"Jaclynne J. Kerner, Ph.D.",,,,SUNY New Paltz,Assistant Professor,"BA '91, WSC (Fine Arts); MA '94, IFA (GSAS/History of Art and Archaeology); PHD '04, IFA (GSAS/History of Art and Archaeology)"
,Ms. Rochelle Lynne Kessler,,,,Embry-Riddle Aeronautical University,Adjunct Professor,"MA '05, IFA (GSAS/History of Art and Archaeology)"
,Ms. Daria T. Keynan,,,, , ,"CERT '86, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '86, IFA (GSAS/History of Art and Archaeology)"
,"Dr. J. Edward Kidder, Jr.",,,,International Christian University,Professor Emeritus,"MA '49, IFA (GSAS/Fine Arts)"
,Dr. Jennifer M. Kilian,,,,Kist Kilian Communications, ,"XX '83, IFA (GSAS/Fine Arts); PHD '93, IFA (GSAS/History of Art and Archaeology)"
,Ms. Laurie Ann Kilker,,,,Ithaca College,Lecturer,"MA '04, IFA (GSAS/History of Art and Archaeology)"
,Ms. Emy Elm Kim,,,, , ,"CERT '08, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,Ms. Jennifer Junghan Kim,,,,Margaret Herrick Library,Conservator,"MA '08, IFA (GSAS/History of Art and Archaeology); CERT '08, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
Education,"Jongwoo Kim, Ph.D.",,38.210188,-85.759045,University of Louisville,"Associate Professor of Modern Art; Director of Graduate Studies, Department of Fine Art","BA '98, CAS (Fine Arts); PHD '07, IFA (GSAS/History of Art and Archaeology)"
,Mr. William C. Kimmel,,,,New School for Social Research, ,"XX '84, IFA (GSAS/Fine Arts)"
,"Dale B. Kinney, Ph.D.",,,,Bryn Mawr College,Professor of History of Art,"MA '67, IFA (GSAS/Fine Arts); PHD '75, IFA (GSAS/Fine Arts)"
,Ms. Lucie L. Kinsolving,,,,National Academy Museum,Paintings Conservator,"MA '89, IFA (GSAS/History of Art and Archaeology); CERT '89, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Laura Klar Phillips, Ph.D.",,,,SUNY New Paltz, ,"MA '00, IFA (GSAS/History of Art and Archaeology); PHD '06, IFA (GSAS/History of Art and Archaeology)"
,Mr. Norman L. Kleeblatt,,,,The Jewish Museum,Susan & Elihu Rose Chief Curator,"CERT '75, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '75, IFA (GSAS/History of Art and Archaeology)"
,"Lynda Klich, Ph.D.",,,,Hunter College CUNY,Distinguished Lecturer,"PHD '08, IFA (GSAS/History of Art and Archaeology)"
,Mr. Robert D. Knafo,,,,NewArtTV,Executive Producer,"MA '82, IFA"
,Ms. Heather Lauren Knapp,,,,AMNH, ,"MA '09, IFA (Museum Studies)"
,Ms. Evelyn Monroe Koehnline,,,,Ackland Art Museum,Conservator,"CERT '84, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '84, IFA (GSAS/History of Art and Archaeology)"
,Dr. Linda Komaroff,,34.063932,-118.359229,Los Angeles County Museum of Art,Cuator of Islamic Art,"MA '77, IFA (GSAS/Fine Arts)"
,"Yee Wan Koon, Ph.D.",,,,Department of Fine Arts,Assistant Professor,"MA '01, IFA (GSAS/History of Art and Archaeology); PHD '06, IFA (GSAS/History of Art and Archaeology)"
,Ms. Abby M. Kornfeld,,,,City College of New York,Assistant Professor of Art History ,"MA '05, IFA (GSAS/History of Art and Archaeology); PHD '13, IFA (GSAS/History of Art and Archaeology)"
Non-profit Arts Administration,Vasif Kortun,,41.023969,28.973286,SALT Galata,"Director, Research and Programs at SALT",MA 1985
,Mr. Victor Koshkin-Youritzin,,,,School of Art and Art History,David Ross Boyd Professor of Art History,"MA '67, IFA (GSAS/Fine Arts)"
Non-profit Arts Administration,"Dorothy Kosinski, Ph.D.",,38.911339,-77.046719,The Phillips Collection,Director,PhD 1985
Education,Dr. Desiree G. Koslin,,40.746901,-73.994081,Fashion Institute of Technology,Professor,PhD 1999
,Dr. Susan J. Koslow,,,,"CUNY, Graduate Center & Brooklyn College",Professor Emerita,"MA '65, IFA (GSAS/Fine Arts)"
,"Rachel M Kousser, Ph.D.",,,,Brooklyn College,Assistant Professor,"MA '96, IFA (GSAS/History of Art and Archaeology); PHD '01, IFA (GSAS/History of Art and Archaeology)"
,Miss Deborah E. Kraak,,,,"Historic Textiles, Costumes and Interiors",Independent Museum Professional,"XX '81, IFA (GSAS/Fine Arts)"
Non-profit Arts Administration,"Linda Konheim Kramer, Ph.D.",,40.752111,-73.999787,Nancy Graves Foundation,Executive Director,PhD 2000
,Mr. John Krill,,,, ,Paper Conservator,"CERT '70, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
Education,Professor Carol Herselle Krinsky,,40.729513,-73.996461,New York University,Professor of Art History,"MA '60, IFA (GSAS/Fine Arts); PHD '65, IFA"
For-profit Arts Professional,Mr. Andrew J. Kronenberg,,40.770404,-73.956618,Andrew Kronenberg Fine Art LLC, ,"MA '96, IFA (GSAS/History of Art and Archaeology)"
Education,"Margaret A. Kuntz, Ph.D.",,40.760895,-74.428511,Drew University,Professor of Art History,PhD 1997
Education,"Karen Lynne Kurczynski, Ph.D.",,42.391157,-72.526712,"University of Massachusetts, Amherst",Assistant Professor of Art History,"MA '98, IFA (GSAS/History of Art and Archaeology); PHD '05, IFA (GSAS/History of Art and Archaeology)"
,Ms. Lisa B. Kurzner-Bloomenkranz,,,,Public Art Projects,Independent Curator,"XX '85, IFA (GSAS/Fine Arts)"
,Ms. Rebecca Ruderman Kusovitsky,,40.779187,-73.963535,Metropolitan Museum of Art,"Associate for Administration, Modern and Contemporary Art","MA '12, IFA (GSAS/History of Art and Archaeology)"
,Ms. Deborah Ann La Camera,,,,Studio TKM Ltd.,Conservator,"MA '00, IFA (GSAS/Conservation of Hist & Artistic Wrk); CERT '00, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
Education,Dr. Charlotte Daudon Lacaze,,48.859323,2.303893,The American University of Paris,Professor Emerita of Art History,PhD 1978
,"Robert Gene LaFrance, Ph.D.",,,,Krannert Art ,Curator of Pre-Modern Art,"PHD '02, IFA (GSAS/History of Art and Archaeology)"
,Dr. Stephen Lamia,,,,Dowling College,Professor of Visual Arts,"MA '73, IFA (GSAS/Fine Arts)"
,Professor Emerita Sarah B. Landau,,,, ,Professor Emerita of Art History,"MA '59, GSAS; PHD '78, IFA"
,Ms. Ingrid Olivia Langston,,,,Triple Canopy,Contributor,"MA '11, IFA (GSAS/History of Art and Archaeology)"
,Mr. Richard S. Lanier,,,,Trust for Mutual Understanding,Director,"MA '67, IFA (GSAS/Fine Arts)"
,Ms. Abigail E. Lapin,,,,CUNY Graduate Center,PhD Student,"BA '10, CAS (Spanish, Art History); MA '13, IFA (GSAS/History of Art and Archaeology)"
Education,"Barbara J. Larson, Ph.D.",,30.545102,-87.216316,University of West Florida,Associate Professor of Art and Art History,PhD 1996
,Mr. A. Floyd Lattin,,,,"The Praedium Group, LLC",Founder/Chief Investment Officer,"MA '79, IFA (GSAS/Fine Arts)"
,Dr. Marilyn A. Lavin,,,,Department of Art and Archaeology,Visiting Lecturer (with rank of Professor),"XX '73, IFA (GSAS/Fine Arts)"
Non-profit Arts Administration,Alexandra Ames Lawrence,,50.091503,14.403815,Lobkowicz Palace,"Director, The Princely Collections",MA 1999
,Ms. Kathryn Elizabeth Lawson,,40.779928,-73.960263,"Institute for the Study of the Ancient World, NYU",Assistant Director for Academic Aff,"MA '09, IFA (GSAS/History of Art and Archaeology)"
,"Karen J. Leader, Ph.D.",,,,Department of Visual Arts and Art History,Assistant Professor of Art History,"MA '03, IFA (GSAS/History of Art and Archaeology); PHD '09, IFA (GSAS/History of Art and Archaeology)"
,Professor Heather N. Lechtman,,,,Massachussetts Institute of Technology,Professor of Archaeology & Ancient Technology,"MA '66, IFA (GSAS/History of Art and Archaeology); CERT '67, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
For-profit Arts Professional,"Yulin Lee, Ph.D.",,25.039776,121.547131,Taishin Bank Foundation for Arts & Culture,Artistic Director,PhD 2012
,"Sarah Lees, Ph.D.",,,,Sterling and Francine Clark Art Institute,Associate Curator of European Art,"MA '92, IFA (GSAS/History of Art and Archaeology); PHD '99, IFA (GSAS/History of Art and Archaeology)"
,"Leah Rosenblatt Lehmbeck, Ph.D.",,,,Norton Simon Museum,Assistant Curator,"MA '02, IFA (GSAS/History of Art and Archaeology); PHD '07, IFA (GSAS/History of Art and Archaeology)"
,"Patrick Lenaghan, Ph.D.",,,,The Hispanic Society of America,"Curator, Prints and Photographs","MA '87, IFA (GSAS/Fine Arts); PHD '93, IFA (GSAS/History of Art and Archaeology)"
Non-profit Arts Administration,Susan L'Engle,,38.636527,-90.233121,Saint Louis University,"Assistant Director, Vatican Film Library","MA '93, IFA (GSAS/History of Art and Archaeology); PA '97, IFA (GSAS/Curatorial Studies); PHD '00, IFA (GSAS/History of Art and Archaeology)"
,Mr. Mark W. Leonard,,,,c/o Louis Stern Fine Arts ,Working Artist,"CERT '80, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '80, IFA (GSAS/History of Art and Archaeology)"
,"Liliana Leopardi, Ph.D.",,,,Chapman University,Assistant Professor,"MA '00, IFA (GSAS/History of Art and Archaeology); PHD '07, IFA (GSAS/History of Art and Archaeology)"
,Ms. Colleen Ritzau Leth,,,,Colloquium Associate,Global Museum Leaders ,"MA '11, IFA (GSAS/History of Art and Archaeology)"
,Dr. Andrew K.Y. Leung,,,,Austrian Archaeological Institute, ,"MA '93, IFA (GSAS/History of Art and Archaeology)"
,Ms. Susana T.  Leval,,,,Director,Independent Art Historian/Arts Consultant,"MA '73, IFA"
,Dr. Jay A. Levenson,,40.761433,-73.977622,Museum of Modern Art,"Director, International Program","XX '75, IFA (GSAS/Fine Arts)"
,"Cecelia S. Levin, Ph.D.",,,,"Art of Asia, Oceania and Africa", ,"BA '72, WSC (Fine Arts); MA '77, IFA (GSAS/Fine Arts); PHD '99, IFA (GSAS/History of Art and Archaeology)"
,Ms. Judith Levinson,,,,Ameircan Museum of Natural History,Director of Conservation: Anthropology,"MA '84, IFA (GSAS/History of Art and Archaeology); CERT '84, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Candace J. Lewis, Ph.D.",,,,Marist College,Adjunct Professor,"PHD '99, IFA (GSAS/History of Art and Archaeology)"
,Mrs. Claudia Lewis,,,,Marymount Manhattan,Lecturer in Art History,"MA '67, IFA (GSAS/Fine Arts)"
,"Niria Elena Leyva-Gutierrez, Ph.D.",,,,Art History & Museum Studies,Assistant Professor of,"MA '99, IFA (GSAS/History of Art and Archaeology); PHD '12, GSAS (GSAS/History of Art and Archaeology); PHD '12, IFA (GSAS/History of Art and Archaeology)"
,Dr. Meg Licht,,,, , ,"PHD '68, IFA (GSAS/Fine Arts)"
,Mr. Harold A. Liebowitz,,,,The University of Texas at Austin,"Professor Emeritus, Middle Eastern Studies","MA '66, IFA (GSAS/Fine Arts)"
,Ms. Amy Pearl Liebster,,,,Christie's,Web Producer,"MA '14, IFA (GSAS/History of Art and Archaeology)"
Conservation,Mr. Andrew Lins,,39.96557,-75.180966,Philadelphia Museum of Art,Conservator of Artifacts,CERT 1975
,"Deborah Lipton, Ph.D.",,,,Cornell University,Major Gift Officer,"PHD '74, IFA (GSAS/Fine Arts)"
,Dr. Charles T. Little,,40.779187,-73.963535,Metropolitan Museum of Art,Curator of Medieval Art,"MA '70, IFA (GSAS/Fine Arts); PHD '77, IFA"
,Ms. Gail P. Lloyd,,,,Arthur Ross Foundation,Executive Director,"MA '82, IFA (GSAS/Fine Arts)"
,"Jane F. Lloyd, Ph.D.",,,,New York Institute of Technology, ,"MA '81, IFA (GSAS/Fine Arts); PHD '90, IFA (GSAS/Fine Arts)"
,Mr. Peter C. Locascio,,,, , ,"XX '82, IFA (GSAS/Fine Arts)"
,"Suzanne Heim Loggie, Ph.D.",,,,Braswell Galleries Auction,Research Specialist,"MA '72, IFA (GSAS/Fine Arts); PHD '89, IFA (GSAS/Fine Arts)"
,Ms. Barbara J. London,,,,Media and Performance Art,Associate Curator,"XX '72, IFA (GSAS/Fine Arts)"
,Ms. Christina V. Long,,,,Office of the Director,Assistant for Administration,"MA '14, IFA (GSAS/History of Art and Archaeology)"
,Ms. Rebecca J. Long,,,,European Painting and Sculpture,Curatorial Assistant,"MA '04, IFA (GSAS/History of Art and Archaeology)"
,Ms. Linda S. Lourie,,,,US Department of Defense,Associate General Counsel,"MA '92, IFA (GSAS/History of Art and Archaeology)"
,Dr. Constance Lowenthal,,,,"Constance Lowenthal, Inc.","Consultant, Provenance and Ownership ","MA '69, IFA (GSAS/Fine Arts)"
,Ms. Rosa Lowinger,,,,The Sculpture Conservation Studio, ,"MA '84, IFA (GSAS/History of Art and Archaeology); CERT '84, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
Education,"Robert S. Lubar, Ph.D.",,40.776338,-73.964047,Institute of Fine Arts,Associate Professor of Fine Arts,"MA '81, IFA (GSAS/Fine Arts); PHD '88, IFA (GSAS/Fine Arts)"
,"Martha Lucy, Ph.D.",,39.960642,-75.172137,The Barnes Foundation,Associate Curator,"PHD '04, IFA (GSAS/History of Art and Archaeology)"
,"Leslie L. Luebbers, Ph.D.",,,,The University of Memphis Art Museum,Director,"MA '87, IFA (GSAS/Fine Arts); PHD '01, IFA (GSAS/History of Art and Archaeology)"
Education,"Emanuele Lugli, Ph.D.",,53.945533,-1.056167,University of York,"Lecturer, Department of History of Art","PHD '09, IFA (GSAS/History of Art and Archaeology)"
,Dr. Alisa L. Luxenberg,,,,University of Georgia,Professor,"PHD '91, IFA (GSAS/History of Art and Archaeology)"
,Ms. Nancy Falkin Lynn,,,,Alzheimer's Drug Discovery Foundation ,Executive Vice President,"MA '98, IFA (GSAS/History of Art and Archaeology)"
,Ms. Meghan Thumm Mackey,,,,"Meghan Thumm Mackey Conservation, LLC",Owner,"CERT '97, IFA (GSAS/Conservation of Hist & Artistic Wrk); MA '97, IFA (GSAS/History of Art and Archaeology)"
Conservation,Ms. Odile Marguerite Madden,,34.063932,-118.359229,Los Angeles County Museum of Art,Laser Conservation Research,"MA '01, IFA (GSAS/History of Art and Archaeology); CERT '01, IFA (GSAS/Conservation of Hist & Artistic Wrk)"
,"Sarah Elizabeth Madole, Ph.D.",,,,Marymount Manhattan College,Adjunct Professor ,"MA '06, IFA (GSAS/History of Art and Archaeology); PHD '12, IFA (GSAS/History of Art and Archaeology)"
Non-profit Arts Administration,Ms. Natalia Majluf,,-12.060446,-77.03697,Museo de Arte de Lima,Director,"MA '90, IFA (GSAS/History of Art and Archaeology)"
,Ms. Philippa Feigen Malkin,,,,The Matthews Group,Real Estate Agent,"MA '95, IFA (GSAS/History of Art and Archaeology)"
,Mr. Christopher S. Malstead,,,,Wells Fargo, ,"MA '96, IFA (GSAS/History of Art and Archaeology)"
,Ms. Carol C. Mancusi-Ungaro,,40.773423,-73.963818,Whitney Museum of American Art,Associate Director for Conservation,"MA '70, IFA (GSAS/History of Art and Archaeology)"
,"Earl R. Mandle, Ph.D.",,,,Qatar Museums Authority, ,"MA '67, IFA (GSAS/Fine Arts)"
,Ms. Janis Mandrus,,40.779187,-73.963535,Metropolitan Museum of Art, ,"MA '97, IFA (GSAS/History of Art and Archaeology)"
,Dr. Richard G. Mann,,,,Art Department,Professor,"XX '82, IFA (GSAS/Fine Arts)"
,Dr. Vivian B. Mann,,,,The Jewish Museum,Curator of Judaica,"PHD '77, IFA (GSAS/Fine Arts)"
,Ms. Kimberly Marcelino,,,,PhD at CUNY Grad Center, ,"MA '12, IFA (GSAS/History of Art and Archaeology)"
,Dr. Roxana Marcoci,,40.761433,-73.977622,Museum of Modern Art,"Curator, Department of Photography","MA '86, IFA (GSAS/Fine Arts); PHD '98, IFA (GSAS/History of Art and Archaeology)"
,Dr. Lois G. Marcus,,,,Associated Art Consultant Services, ,"BA '69, WSC; MA '73, IFA (GSAS/Fine Arts)"
,Ms. Susan D. Marcus,,,,Meta-Graphics,Designer,"XX '68, WSC; MA '71, IFA (GSAS/Fine Arts)"
,"Areli Marina, Ph.D.",,,,University of Illinois at Urbana-Champaign,Assistant Professor,"PHD '04, IFA (GSAS/History of Art and Archaeology)"
